Cluster,Latitude,Longitude,CrimeCount
617,54.232082,-6.029536,28
618,54.03521,-6.050128,18
619,54.301052,-6.195706,13
620,54.923832,-7.1895285,9
621,54.549843,-7.1602645,22
622,54.565285,-7.267682,5
623,54.61511,-7.3295374,129
624,54.619072,-6.1547966,21
625,54.392357,-6.7392516,20
626,54.63156,-6.6620326,6
627,54.68014,-6.14998,7
628,54.389503,-6.622302,5
629,54.631413,-5.656928,8
630,54.532974,-6.0183425,11
631,54.75228,-6.5022326,5
632,54.09301,-6.5311036,10
633,54.743977,-6.524325,7
634,54.497013,-6.8509073,42
635,54.87783,-6.323558,7
636,55.223003,-6.4655337,15
637,54.476505,-6.477262,6
638,54.339916,-6.7236123,14
639,54.733154,-6.259042,10
640,54.38796,-6.598755,6
641,54.7383,-6.5270014,5
642,55.23639,-6.3564496,13
643,54.122597,-5.975813,5
644,54.48454,-5.456789,12
645,54.426918,-6.008866,7
646,54.81542,-5.777361,10
647,54.51066,-6.001566,49
648,54.42058,-6.357163,6
649,54.756756,-6.41461,6
650,54.76324,-5.859753,12
651,54.94004,-7.3843474,31
652,54.907665,-6.237245,9
653,54.543896,-7.727417,5
654,54.699917,-6.103924,58
655,54.23259,-5.868589,21
656,54.196465,-7.5711384,30
657,54.73322,-6.185222,107
658,54.663574,-6.7198896,8
659,54.665546,-6.060371,8
660,54.696922,-6.5977535,11
661,54.834194,-5.8693385,11
662,54.858334,-7.428777,42
663,54.141308,-6.3567514,53
664,54.502346,-6.639378,16
665,54.306145,-6.2202587,5
666,54.848778,-6.479473,5
667,55.04107,-7.072988,18
668,54.48343,-6.640778,7
669,54.254395,-5.740642,6
670,54.942875,-6.251638,7
671,54.41058,-7.173049,36
672,54.518593,-6.878386,11
673,54.49842,-6.1167235,20
674,55.036503,-6.40921,6
675,54.86024,-6.7448516,6
676,54.577137,-5.785101,11
677,54.194283,-7.5181646,10
678,54.950096,-5.988088,5
679,54.518818,-5.870259,12
680,54.78331,-6.1729336,8
681,54.483883,-6.0901866,11
682,55.038162,-7.170267,13
683,54.197643,-6.367447,10
684,55.047436,-6.5498247,31
685,54.134026,-6.484639,7
686,55.108578,-6.4202914,23
687,54.994926,-6.17969,27
688,54.541576,-6.7335176,5
689,54.319195,-7.576373,60
690,54.47234,-5.7694573,7
691,55.19776,-6.2368746,29
692,54.615955,-5.6797895,23
693,54.0784,-6.6083207,109
694,54.710857,-5.849483,15
695,54.989624,-7.221291,13
696,54.54899,-6.671308,20
697,54.123756,-6.338338,7
698,54.195026,-7.465131,17
699,54.404743,-6.34865,8
700,54.839684,-6.424186,9
701,54.644123,-6.500837,5
702,54.4342,-7.6826425,7
703,54.763042,-5.986956,7
704,54.532257,-5.9856143,17
705,54.982933,-6.6785307,23
706,54.379627,-6.478889,6
707,54.503315,-5.928577,7
708,54.235485,-5.9762254,6
709,54.909027,-7.134431,19
710,54.12199,-6.3544793,20
711,54.472572,-5.442859,5
712,54.32712,-5.663138,30
713,54.389885,-5.670826,5
714,54.41626,-6.1673923,14
715,54.598667,-5.771567,6
716,54.48625,-6.1210465,11
717,55.019882,-7.276112,175
718,54.75324,-7.346716,6
719,54.515156,-5.957529,30
720,54.420273,-5.8913407,12
721,54.840977,-5.8610992,41
722,54.368572,-7.565205,6
723,55.139034,-6.9463954,15
724,54.850956,-5.778505,12
725,54.72996,-6.626622,5
726,54.216263,-6.471128,8
727,54.602238,-5.7535205,26
728,54.429577,-6.4730096,6
729,54.673916,-5.6133127,54
730,54.346638,-6.452773,9
731,54.839153,-6.644893,6
732,54.42688,-5.6675553,12
733,54.8106,-5.9044,5
734,54.882366,-6.231044,7
735,54.93383,-6.255931,5
736,54.23943,-7.1736593,15
737,54.390953,-6.4811883,7
738,54.620136,-5.576717,24
739,55.231876,-6.515394,13
740,54.11956,-6.1740236,5
741,54.595875,-7.2493544,8
742,54.560963,-6.100328,7
743,54.31476,-7.405177,32
744,54.742867,-6.42666,5
745,54.486973,-6.89263,8
746,55.01466,-7.272564,14
